game,checkpoint,episodes,mean,checkpoint_hash,training_seed,evaluation_seed
bank_heist,40000,10,19.0,1fcbd101c9bf9c554a8dd7ae0adf327518e060f79edffef4d3bc7c4814b81053,0,0
bank_heist,50000,10,20.0,dc35ccde79e4edfa45a7d2995f6ee8bf3a789e376c065b698e1af862a8f306a8,0,0
bank_heist,60000,10,18.0,5d8399258939b8d02b67f23522218b0320d3a79966d26d5749f17284b7622291,0,0
bank_heist,70000,10,19.0,ff6e5012082d9cdc65cb5464a20c7e9218084f02b94ba31a51b3f8754d4fb948,0,0
bank_heist,80000,10,32.0,cc92b249bbcc9ee36b39d64fba882a616a63f55c28d75be83bece08c211b9e30,0,0
bank_heist,90000,10,27.0,9caafa9b35d6d61e6ec7b5495c33b0489b999ac018cbd1c1244c8d6bd40c2057,0,0
bank_heist,100000,100,37.8,67b324c5e4c94ae9d63b9049ea86c3ef229519f0fff7331ff1d025052c7e319f,0,0
battle_zone,10000,10,2800.0,b57aaf3a637efb7962216e76101dae525fbcb2150eb326ce87bacda712c2ef9e,0,0
battle_zone,20000,10,1300.0,fcc68a17900bc10430867a9ae3c87bd9c1f289e84a99b061814da89063373261,0,0
battle_zone,30000,10,3600.0,d869065da97bff04a8cc3fd726d8e62c723f0cbdb39ac5484decbf0029069dea,0,0
battle_zone,40000,10,1800.0,963212cdc453dc3dfad8144a12dc34ae78871498fb58b2321767011d7f9291a4,0,0
battle_zone,50000,10,8300.0,e2bb0ac9d72babcc958cb18393ad00c87915917941ea08c7c6853f1d4ece2b66,0,0
battle_zone,60000,10,12900.0,87847b0734162e47ce98c1edb3a04f1bdf1f1141e3779a015c60eac19c17dd28,0,0
battle_zone,70000,10,18300.0,e05ce48c3e5b646b61b24c1b3d2c333d28038042d4f445c4cd0992fb9fea75d8,0,0
battle_zone,80000,10,16000.0,a3702d1b292fd31523a87625b237e43054e458a040888bdf276bf0633b6068f9,0,0
battle_zone,90000,10,22700.0,4a9589f1a16445462ff10dbe8849c8b4f539edeec0e1fc4a52d12ba9bc821918,0,0
battle_zone,100000,100,18290.0,ba1329b8e8d77f26802f1cd4c289ba1ff91c52c8ed332ff8270b0d1998913251,0,0
boxing,10000,10,-86.4,90f10d55556276118075fcd13e5f85e4e1bfeb1eed8bf70c4e76e15ec932cee9,0,0
boxing,20000,10,-4.3,6c58a23a37a8576e29426737320c191000bdff457d6e3fdd175ad92ec52bc0d5,0,0
boxing,30000,10,-16.4,cd6012f5f9042c36dd8850d0d9e4960cf8cdf619dbeb27b6d022aa691d9b743d,0,0
boxing,40000,10,4.1,fc8bff3b5e43d06054a7f79e64fed5e5a8ca485cace02cc7f81148f201e9d05c,0,0
boxing,50000,10,3.8,f16ce8eb57f8ed3e239488b7b1e08dbcc7cf752f04376cb595868a2832c6ca33,0,0
boxing,60000,10,-25.5,74aacbabc03b6dcffda3147dc002a92a64ff862c1698a7e3301cc53ea9250be9,0,0
boxing,70000,10,9.7,ae3851f867cbfd1750b99a9a8b806fd3b5a7659b6e0420e273f8db2707bd47eb,0,0
boxing,80000,10,28.9,94949b2dcb9e92d026c0ecd589b976d23c1924217400cdfd28533e5373a020e9,0,0
boxing,90000,10,42.8,ef7daabd1996b1b7ca65e9956d71b47cbcc5af8acad4e074ddc6d4fce512ac82,0,0
boxing,100000,100,41.39,5f4aa1d955f50480c783e9aefd0d218f3a939f056b0ad69fe1a56e95f60276af,0,0
breakout,10000,10,1.9,744ead3941fa8d80dfd463d061e1ca875104e9bb5046c5fe5e8e5a1485754365,0,0
breakout,20000,10,5.1,f2407792300296d2556a2948922f839157eeccd61e2351d86b3ccf8bb4dc0bce,0,0
breakout,30000,10,4.3,07f85ee4fe0087ac49c7ee632127cc2670cdd74716f74b4021d95a05a13c9fc5,0,0
breakout,40000,10,5.0,15fa458cf24848890450cd4996836d8c3f384f6ad33951ec63123f7b0ad4565d,0,0
breakout,50000,10,3.9,d4a9731c3965aa093f9f88c5629ad62def336b3aa4655ea40d78372e09ab5ce8,0,0
breakout,60000,10,4.7,b5d43e6756b96af51150d5051b5cb3132f02d9fd608f4f3a3a74954472e53a43,0,0
breakout,70000,10,6.1,a2237c1e04757791a13a2e1580576a9f00f0ec9a381b6aa80caf29a7bb450057,0,0
breakout,80000,10,6.3,5de9ab7d57db2c65e44b8127ea8ab733ae8fdde03f27fdbc6c409ee29f4689d2,0,0
breakout,90000,10,6.2,4d853c9e572bc4e9654167dbbc27c22b7d1edb7381ad59a098cc62c9bb14e25b,0,0
breakout,100000,100,7.49,81a0f807d004a579b8d1d1fff70173a1d2003c0c0c9e43251d294fb0189f0db0,0,0
chopper_command,10000,10,630.0,594ff17f6b6c0cc8d27236a4b6528dbcd5f2e78bf4034b328aa156ee3712cfad,0,0
chopper_command,20000,10,430.0,91ec043d1f83d839432fe93280e5adbe2e961a879df9c50544ed27bc64519a2f,0,0
chopper_command,30000,10,910.0,00f73cf7161fa8bf5d5dae19b66bc6648e848be45405aa46fb1cc5fe0d47d134,0,0
chopper_command,40000,10,1250.0,3edcb21a192bb1c1df86c011169ee00309b04fa598ebf44cf38412fe2007b81c,0,0
chopper_command,50000,10,1090.0,5e68495197c02c68b7d03d14f0762ba20757d5ad035ccbab0c39bb1593e574be,0,0
