method,game,seed,agent_steps,return
CoRe-WM old,alien,3,4280,220.0
CoRe-WM old,alien,3,5050,250.0
CoRe-WM old,alien,3,5697,190.0
CoRe-WM old,alien,3,6464,240.0
CoRe-WM old,alien,3,7131,190.0
CoRe-WM old,alien,3,7931,230.0
CoRe-WM old,alien,3,9088,810.0
CoRe-WM old,alien,3,9681,160.0
CoRe-WM old,alien,3,10461,300.0
CoRe-WM old,alien,3,11090,190.0
CoRe-WM old,alien,3,11693,220.0
CoRe-WM old,alien,3,12359,200.0
CoRe-WM old,alien,3,12940,160.0
CoRe-WM old,alien,3,13774,360.0
CoRe-WM old,alien,3,14393,340.0
CoRe-WM old,alien,3,15172,200.0
CoRe-WM old,alien,3,15848,370.0
CoRe-WM old,alien,3,16300,310.0
CoRe-WM old,alien,3,16836,190.0
CoRe-WM old,alien,3,17347,170.0
CoRe-WM old,alien,3,17808,200.0
CoRe-WM old,alien,3,18317,310.0
CoRe-WM old,alien,3,18899,220.0
CoRe-WM old,alien,3,19496,240.0
CoRe-WM old,alien,3,20145,370.0
CoRe-WM old,alien,3,20749,200.0
CoRe-WM old,alien,3,21364,180.0
CoRe-WM old,alien,3,21828,160.0
CoRe-WM old,alien,3,22516,410.0
CoRe-WM old,alien,3,23084,320.0
CoRe-WM old,alien,3,23493,70.0
CoRe-WM old,alien,3,24045,300.0
CoRe-WM old,alien,3,24588,160.0
CoRe-WM old,alien,3,25062,160.0
CoRe-WM old,alien,3,25621,310.0
CoRe-WM old,alien,3,26199,360.0
CoRe-WM old,alien,3,26605,220.0
CoRe-WM old,alien,3,27051,340.0
CoRe-WM old,alien,3,27603,110.0
CoRe-WM old,alien,3,28155,140.0
CoRe-WM old,alien,3,28661,130.0
CoRe-WM old,alien,3,29108,240.0
CoRe-WM old,alien,3,29550,280.0
CoRe-WM old,alien,3,30140,140.0
CoRe-WM old,alien,3,30656,230.0
CoRe-WM old,alien,3,31105,170.0
CoRe-WM old,alien,3,31546,220.0
CoRe-WM old,alien,3,32028,290.0
CoRe-WM old,alien,3,32605,270.0
CoRe-WM old,alien,3,33349,180.0
CoRe-WM old,alien,3,33975,330.0
CoRe-WM old,alien,3,34837,230.0
CoRe-WM old,alien,3,35455,270.0
CoRe-WM old,alien,3,36205,270.0
CoRe-WM old,alien,3,36850,450.0
CoRe-WM old,alien,3,37349,350.0
CoRe-WM old,alien,3,37853,360.0
CoRe-WM old,alien,3,38520,360.0
CoRe-WM old,alien,3,38918,260.0
CoRe-WM old,alien,3,39501,320.0
CoRe-WM old,alien,3,39973,220.0
CoRe-WM old,alien,3,40674,270.0
CoRe-WM old,alien,3,41283,300.0
CoRe-WM old,alien,3,42063,450.0
CoRe-WM old,alien,3,42568,390.0
CoRe-WM old,alien,3,43006,390.0
CoRe-WM old,alien,3,43621,380.0
CoRe-WM old,alien,3,44184,310.0
CoRe-WM old,alien,3,44867,390.0
CoRe-WM old,alien,3,45443,370.0
CoRe-WM old,alien,3,45860,330.0
CoRe-WM old,alien,3,46363,350.0
CoRe-WM old,alien,3,46835,350.0
CoRe-WM old,alien,3,47691,390.0
CoRe-WM old,alien,3,48537,220.0
CoRe-WM old,alien,3,49194,340.0
CoRe-WM old,alien,3,49723,400.0
CoRe-WM old,alien,3,50274,330.0
CoRe-WM old,alien,3,50732,320.0
CoRe-WM old,alien,3,51349,300.0
CoRe-WM old,alien,3,51931,310.0
CoRe-WM old,alien,3,52524,330.0
CoRe-WM old,alien,3,53152,400.0
CoRe-WM old,alien,3,53734,260.0
CoRe-WM old,alien,3,54344,420.0
CoRe-WM old,alien,3,54909,410.0
CoRe-WM old,alien,3,55393,320.0
CoRe-WM old,alien,3,55967,290.0
CoRe-WM old,alien,3,56675,410.0
CoRe-WM old,alien,3,57033,280.0
CoRe-WM old,alien,3,57574,310.0
CoRe-WM old,alien,3,58151,390.0
CoRe-WM old,alien,3,58815,330.0
CoRe-WM old,alien,3,59517,270.0
CoRe-WM old,alien,3,60151,220.0
CoRe-WM old,alien,3,60621,210.0
CoRe-WM old,alien,3,61148,220.0
CoRe-WM old,alien,3,61872,390.0
CoRe-WM old,alien,3,62413,350.0
CoRe-WM old,alien,3,63007,340.0
CoRe-WM old,alien,3,64075,1110.0
CoRe-WM old,alien,3,64942,550.0
CoRe-WM old,alien,3,65612,350.0
CoRe-WM old,alien,3,66481,470.0
CoRe-WM old,alien,3,67064,350.0
CoRe-WM old,alien,3,67445,330.0
CoRe-WM old,alien,3,68224,440.0
CoRe-WM old,alien,3,68770,290.0
CoRe-WM old,alien,3,69159,360.0
CoRe-WM old,alien,3,69732,300.0
CoRe-WM old,alien,3,70319,380.0
CoRe-WM old,alien,3,70829,370.0
CoRe-WM old,alien,3,71417,360.0
CoRe-WM old,alien,3,72016,430.0
CoRe-WM old,alien,3,72670,460.0
CoRe-WM old,alien,3,73227,380.0
CoRe-WM old,alien,3,73559,350.0
CoRe-WM old,alien,3,74056,350.0
CoRe-WM old,alien,3,74786,470.0
