method,game,seed,bin,return
CoRe-WM old,bank_heist,1,4,3.3333333333333335
CoRe-WM old,bank_heist,1,5,21.666666666666668
CoRe-WM old,bank_heist,1,6,10.0
CoRe-WM old,bank_heist,1,7,11.25
CoRe-WM old,bank_heist,1,8,31.666666666666668
CoRe-WM old,bank_heist,1,9,12.5
CoRe-WM old,bank_heist,1,10,27.5
CoRe-WM old,bank_heist,1,11,30.0
CoRe-WM old,bank_heist,1,12,25.714285714285715
CoRe-WM old,bank_heist,1,13,24.444444444444443
CoRe-WM old,bank_heist,1,14,25.555555555555557
CoRe-WM old,bank_heist,1,15,22.22222222222222
CoRe-WM old,bank_heist,1,16,32.22222222222222
CoRe-WM old,bank_heist,1,17,26.25
CoRe-WM old,bank_heist,1,18,34.285714285714285
CoRe-WM old,bank_heist,1,19,40.0
CoRe-WM old,bank_heist,2,0,13.333333333333334
CoRe-WM old,bank_heist,2,1,7.0
CoRe-WM old,bank_heist,2,2,10.0
CoRe-WM old,bank_heist,2,3,18.333333333333332
CoRe-WM old,bank_heist,2,4,2.0
CoRe-WM old,bank_heist,2,5,10.0
CoRe-WM old,bank_heist,2,6,21.666666666666668
CoRe-WM old,bank_heist,2,7,11.428571428571429
CoRe-WM old,bank_heist,2,8,15.0
CoRe-WM old,bank_heist,2,9,21.666666666666668
CoRe-WM old,bank_heist,2,10,13.75
CoRe-WM old,bank_heist,2,11,20.0
CoRe-WM old,bank_heist,2,12,12.857142857142858
CoRe-WM old,bank_heist,2,13,17.5
CoRe-WM old,bank_heist,2,14,22.5
CoRe-WM old,bank_heist,2,15,21.25
CoRe-WM old,bank_heist,2,16,26.25
CoRe-WM old,bank_heist,2,17,28.571428571428573
CoRe-WM old,bank_heist,2,18,20.0
CoRe-WM old,bank_heist,2,19,30.0
CoRe-WM old,bank_heist,3,0,26.25
CoRe-WM old,bank_heist,3,1,13.333333333333334
CoRe-WM old,bank_heist,3,2,8.0
CoRe-WM old,bank_heist,3,3,6.666666666666667
CoRe-WM old,bank_heist,3,4,8.571428571428571
CoRe-WM old,bank_heist,3,5,15.0
CoRe-WM old,bank_heist,3,6,15.714285714285714
CoRe-WM old,bank_heist,3,7,18.0
CoRe-WM old,bank_heist,3,8,11.428571428571429
CoRe-WM old,bank_heist,3,9,13.333333333333334
CoRe-WM old,bank_heist,3,10,10.0
CoRe-WM old,bank_heist,3,11,10.0
CoRe-WM old,bank_heist,3,12,18.0
CoRe-WM old,bank_heist,3,13,27.142857142857142
CoRe-WM old,bank_heist,3,14,12.857142857142858
CoRe-WM old,bank_heist,3,15,17.142857142857142
CoRe-WM old,bank_heist,3,16,32.857142857142854
CoRe-WM old,bank_heist,3,17,18.0
CoRe-WM old,bank_heist,3,18,13.75
CoRe-WM old,bank_heist,3,19,15.0
CoRe-WM old,bank_heist,4,0,14.444444444444445
CoRe-WM old,bank_heist,4,1,14.0
CoRe-WM old,bank_heist,4,2,11.428571428571429
CoRe-WM old,bank_heist,4,3,8.0
CoRe-WM old,bank_heist,4,4,25.0
CoRe-WM old,bank_heist,4,5,18.571428571428573
CoRe-WM old,bank_heist,4,6,15.0
CoRe-WM old,bank_heist,4,7,17.142857142857142
CoRe-WM old,bank_heist,4,8,28.333333333333332
CoRe-WM old,bank_heist,4,9,22.5
CoRe-WM old,bank_heist,4,10,15.0
CoRe-WM old,bank_heist,4,11,21.428571428571427
CoRe-WM old,bank_heist,4,12,20.0
CoRe-WM old,bank_heist,4,13,23.333333333333332
CoRe-WM old,bank_heist,4,14,14.285714285714286
CoRe-WM old,bank_heist,4,15,17.5
CoRe-WM old,bank_heist,4,16,26.0
CoRe-WM old,bank_heist,4,17,18.333333333333332
CoRe-WM old,bank_heist,4,18,18.75
CoRe-WM old,bank_heist,4,19,38.75
CoRe-WM old,battle_zone,0,0,1500.0
CoRe-WM old,battle_zone,0,1,1400.0
CoRe-WM old,battle_zone,0,2,2600.0
CoRe-WM old,battle_zone,0,3,2750.0
CoRe-WM old,battle_zone,0,4,2000.0
CoRe-WM old,battle_zone,0,5,2666.6666666666665
CoRe-WM old,battle_zone,0,6,1750.0
CoRe-WM old,battle_zone,0,7,7250.0
CoRe-WM old,battle_zone,0,8,2000.0
CoRe-WM old,battle_zone,0,9,500.0
CoRe-WM old,battle_zone,0,10,3250.0
CoRe-WM old,battle_zone,0,11,666.6666666666666
CoRe-WM old,battle_zone,0,12,1666.6666666666667
CoRe-WM old,battle_zone,0,13,2750.0
CoRe-WM old,battle_zone,0,14,2166.6666666666665
