method,game,seed,agent_steps,return
Reborn + Harmony,amidar,0,53357,60.0
Reborn + Harmony,amidar,0,53961,53.0
Reborn + Harmony,amidar,0,54769,75.0
Reborn + Harmony,amidar,0,55339,56.0
Reborn + Harmony,amidar,0,56105,54.0
Reborn + Harmony,amidar,0,56996,113.0
Reborn + Harmony,amidar,0,57610,97.0
Reborn + Harmony,amidar,0,58446,80.0
Reborn + Harmony,amidar,0,59399,60.0
Reborn + Harmony,amidar,0,60144,71.0
Reborn + Harmony,amidar,0,61005,118.0
Reborn + Harmony,amidar,0,61745,69.0
Reborn + Harmony,amidar,0,62607,84.0
Reborn + Harmony,amidar,0,63277,85.0
Reborn + Harmony,amidar,0,63958,68.0
Reborn + Harmony,amidar,0,64762,79.0
Reborn + Harmony,amidar,0,65948,74.0
Reborn + Harmony,amidar,0,66934,114.0
Reborn + Harmony,amidar,0,67904,117.0
Reborn + Harmony,amidar,0,68722,66.0
Reborn + Harmony,amidar,0,69207,40.0
Reborn + Harmony,amidar,0,70354,142.0
Reborn + Harmony,amidar,0,71277,83.0
Reborn + Harmony,amidar,0,71983,100.0
Reborn + Harmony,amidar,0,72830,155.0
Reborn + Harmony,amidar,0,73710,75.0
Reborn + Harmony,amidar,0,74458,83.0
Reborn + Harmony,amidar,0,75327,71.0
Reborn + Harmony,amidar,0,76307,66.0
Reborn + Harmony,amidar,0,77282,97.0
Reborn + Harmony,amidar,0,78162,72.0
Reborn + Harmony,amidar,0,78972,150.0
Reborn + Harmony,amidar,0,79765,181.0
Reborn + Harmony,amidar,0,80622,113.0
Reborn + Harmony,amidar,0,81541,85.0
Reborn + Harmony,amidar,0,82654,114.0
Reborn + Harmony,amidar,0,83490,181.0
Reborn + Harmony,amidar,0,84459,98.0
Reborn + Harmony,amidar,0,85371,103.0
Reborn + Harmony,amidar,0,86131,100.0
Reborn + Harmony,amidar,0,87152,100.0
Reborn + Harmony,amidar,0,87902,107.0
Reborn + Harmony,amidar,0,88633,88.0
Reborn + Harmony,amidar,0,89546,98.0
Reborn + Harmony,amidar,0,90265,58.0
Reborn + Harmony,amidar,0,91081,90.0
Reborn + Harmony,amidar,0,91974,90.0
Reborn + Harmony,amidar,0,92983,114.0
Reborn + Harmony,amidar,0,93825,90.0
Reborn + Harmony,amidar,0,94742,95.0
Reborn + Harmony,amidar,0,95860,83.0
Reborn + Harmony,amidar,0,96653,95.0
Reborn + Harmony,amidar,0,98101,125.0
Reborn + Harmony,amidar,0,99004,142.0
Reborn + Harmony,assault,0,495,252.0
Reborn + Harmony,assault,0,912,168.0
Reborn + Harmony,assault,0,1558,378.0
Reborn + Harmony,assault,0,2004,189.0
Reborn + Harmony,assault,0,2784,294.0
Reborn + Harmony,assault,0,3301,210.0
Reborn + Harmony,assault,0,3650,210.0
Reborn + Harmony,assault,0,4124,231.0
Reborn + Harmony,assault,0,4778,294.0
Reborn + Harmony,assault,0,5274,189.0
Reborn + Harmony,assault,0,5884,189.0
Reborn + Harmony,assault,0,6512,378.0
Reborn + Harmony,assault,0,6957,189.0
Reborn + Harmony,assault,0,8073,210.0
Reborn + Harmony,assault,0,9412,231.0
Reborn + Harmony,assault,0,9982,189.0
Reborn + Harmony,assault,0,10566,252.0
Reborn + Harmony,assault,0,12901,630.0
Reborn + Harmony,assault,0,14167,567.0
Reborn + Harmony,assault,0,14642,147.0
Reborn + Harmony,assault,0,16935,630.0
Reborn + Harmony,assault,0,17380,378.0
Reborn + Harmony,assault,0,18232,525.0
Reborn + Harmony,assault,0,18837,441.0
Reborn + Harmony,assault,0,19561,357.0
Reborn + Harmony,assault,0,20527,525.0
Reborn + Harmony,assault,0,21011,252.0
Reborn + Harmony,assault,0,21587,357.0
Reborn + Harmony,assault,0,22158,399.0
Reborn + Harmony,assault,0,22796,315.0
Reborn + Harmony,assault,0,23197,210.0
Reborn + Harmony,assault,0,23943,546.0
Reborn + Harmony,assault,0,24650,441.0
Reborn + Harmony,assault,0,25576,546.0
Reborn + Harmony,assault,0,26053,252.0
Reborn + Harmony,assault,0,26784,399.0
Reborn + Harmony,assault,0,27258,294.0
Reborn + Harmony,assault,0,28911,504.0
Reborn + Harmony,assault,0,29389,252.0
Reborn + Harmony,assault,0,29940,315.0
Reborn + Harmony,assault,0,30740,420.0
Reborn + Harmony,assault,0,31345,315.0
Reborn + Harmony,assault,0,32396,420.0
Reborn + Harmony,assault,0,33417,378.0
Reborn + Harmony,assault,0,33636,168.0
Reborn + Harmony,assault,0,34271,399.0
Reborn + Harmony,assault,0,34755,189.0
Reborn + Harmony,assault,0,35490,399.0
Reborn + Harmony,assault,0,36928,525.0
Reborn + Harmony,assault,0,38344,630.0
Reborn + Harmony,assault,0,39270,588.0
Reborn + Harmony,assault,0,39814,189.0
Reborn + Harmony,assault,0,40258,336.0
Reborn + Harmony,assault,0,41399,567.0
Reborn + Harmony,assault,0,42066,399.0
Reborn + Harmony,assault,0,43450,588.0
Reborn + Harmony,assault,0,43990,294.0
Reborn + Harmony,assault,0,45496,630.0
Reborn + Harmony,assault,0,46209,420.0
Reborn + Harmony,assault,0,48266,672.0
Reborn + Harmony,assault,0,49334,546.0
Reborn + Harmony,assault,0,50330,483.0
Reborn + Harmony,assault,0,51375,441.0
Reborn + Harmony,assault,0,52105,315.0
Reborn + Harmony,assault,0,52712,294.0
Reborn + Harmony,assault,0,53251,399.0
Reborn + Harmony,assault,0,54145,609.0
Reborn + Harmony,assault,0,55003,378.0
Reborn + Harmony,assault,0,55575,399.0
Reborn + Harmony,assault,0,56468,609.0
Reborn + Harmony,assault,0,57532,546.0
Reborn + Harmony,assault,0,57784,126.0
Reborn + Harmony,assault,0,58485,273.0
Reborn + Harmony,assault,0,58849,210.0
Reborn + Harmony,assault,0,59743,651.0
Reborn + Harmony,assault,0,60313,399.0
Reborn + Harmony,assault,0,60947,357.0
Reborn + Harmony,assault,0,61486,504.0
Reborn + Harmony,assault,0,62626,693.0
Reborn + Harmony,assault,0,63553,483.0
Reborn + Harmony,assault,0,64638,567.0
Reborn + Harmony,assault,0,65663,504.0
Reborn + Harmony,assault,0,66349,420.0
Reborn + Harmony,assault,0,67082,462.0
Reborn + Harmony,assault,0,67333,189.0
Reborn + Harmony,assault,0,68514,441.0
Reborn + Harmony,assault,0,69697,546.0
Reborn + Harmony,assault,0,70753,525.0
Reborn + Harmony,assault,0,72036,651.0
Reborn + Harmony,assault,0,73352,630.0
Reborn + Harmony,assault,0,74857,819.0
Reborn + Harmony,assault,0,76109,693.0
Reborn + Harmony,assault,0,77134,609.0
Reborn + Harmony,assault,0,78025,651.0
Reborn + Harmony,assault,0,79018,483.0
Reborn + Harmony,assault,0,80215,693.0
Reborn + Harmony,assault,0,81459,630.0
Reborn + Harmony,assault,0,82159,504.0
Reborn + Harmony,assault,0,83265,714.0
Reborn + Harmony,assault,0,84653,672.0
Reborn + Harmony,assault,0,85229,357.0
Reborn + Harmony,assault,0,86323,735.0
Reborn + Harmony,assault,0,87153,483.0
Reborn + Harmony,assault,0,88142,714.0
Reborn + Harmony,assault,0,88974,399.0
Reborn + Harmony,assault,0,89418,378.0
Reborn + Harmony,assault,0,90252,546.0
Reborn + Harmony,assault,0,90954,336.0
Reborn + Harmony,assault,0,91530,399.0
Reborn + Harmony,assault,0,92405,693.0
Reborn + Harmony,assault,0,93475,693.0
Reborn + Harmony,assault,0,94576,651.0
Reborn + Harmony,assault,0,95537,630.0
Reborn + Harmony,assault,0,96408,693.0
Reborn + Harmony,assault,0,97668,651.0
Reborn + Harmony,assault,0,99265,672.0
Reborn + Harmony,asterix,0,203,200.0
Reborn + Harmony,asterix,0,459,200.0
Reborn + Harmony,asterix,0,661,100.0
Reborn + Harmony,asterix,0,972,350.0
Reborn + Harmony,asterix,0,1181,200.0
Reborn + Harmony,asterix,0,1525,500.0
Reborn + Harmony,asterix,0,1730,100.0
Reborn + Harmony,asterix,0,1937,200.0
Reborn + Harmony,asterix,0,2163,250.0
Reborn + Harmony,asterix,0,2439,250.0
Reborn + Harmony,asterix,0,2710,300.0
Reborn + Harmony,asterix,0,3027,400.0
Reborn + Harmony,asterix,0,3204,200.0
Reborn + Harmony,asterix,0,3650,800.0
Reborn + Harmony,asterix,0,4081,550.0
Reborn + Harmony,asterix,0,4288,50.0
Reborn + Harmony,asterix,0,4559,300.0
Reborn + Harmony,asterix,0,4822,300.0
Reborn + Harmony,asterix,0,5041,150.0
Reborn + Harmony,asterix,0,5309,350.0
Reborn + Harmony,asterix,0,5586,250.0
Reborn + Harmony,asterix,0,5797,150.0
Reborn + Harmony,asterix,0,6037,250.0
Reborn + Harmony,asterix,0,6383,450.0
Reborn + Harmony,asterix,0,6623,150.0
Reborn + Harmony,asterix,0,6901,200.0
Reborn + Harmony,asterix,0,7227,300.0
Reborn + Harmony,asterix,0,7684,500.0
Reborn + Harmony,asterix,0,7975,100.0
Reborn + Harmony,asterix,0,8198,50.0
Reborn + Harmony,asterix,0,8556,100.0
Reborn + Harmony,asterix,0,9048,200.0
Reborn + Harmony,asterix,0,9247,100.0
Reborn + Harmony,asterix,0,9774,450.0
Reborn + Harmony,asterix,0,10116,250.0
Reborn + Harmony,asterix,0,10419,200.0
Reborn + Harmony,asterix,0,10713,150.0
Reborn + Harmony,asterix,0,11214,300.0
Reborn + Harmony,asterix,0,11485,50.0
Reborn + Harmony,asterix,0,11778,150.0
Reborn + Harmony,asterix,0,12165,300.0
Reborn + Harmony,asterix,0,12687,250.0
Reborn + Harmony,asterix,0,12952,150.0
Reborn + Harmony,asterix,0,13151,100.0
Reborn + Harmony,asterix,0,13417,200.0
Reborn + Harmony,asterix,0,13641,150.0
Reborn + Harmony,asterix,0,13910,150.0
Reborn + Harmony,asterix,0,14180,200.0
Reborn + Harmony,asterix,0,14396,250.0
Reborn + Harmony,asterix,0,14645,150.0
Reborn + Harmony,asterix,0,14903,150.0
Reborn + Harmony,asterix,0,15142,200.0
Reborn + Harmony,asterix,0,15442,200.0
Reborn + Harmony,asterix,0,15720,200.0
Reborn + Harmony,asterix,0,16274,400.0
Reborn + Harmony,asterix,0,16596,200.0
Reborn + Harmony,asterix,0,17326,550.0
Reborn + Harmony,asterix,0,17722,250.0
Reborn + Harmony,asterix,0,17930,100.0
Reborn + Harmony,asterix,0,18325,200.0
Reborn + Harmony,asterix,0,18951,450.0
Reborn + Harmony,asterix,0,19161,150.0
Reborn + Harmony,asterix,0,19397,100.0
Reborn + Harmony,asterix,0,19687,100.0
Reborn + Harmony,asterix,0,20013,150.0
