method,game,seed,agent_steps,return
Constraint suite (seed 0; training episodes),amidar,0,47534,47.0
Constraint suite (seed 0; training episodes),amidar,0,48266,46.0
Constraint suite (seed 0; training episodes),amidar,0,48810,50.0
Constraint suite (seed 0; training episodes),amidar,0,49785,75.0
Constraint suite (seed 0; training episodes),amidar,0,50353,46.0
Constraint suite (seed 0; training episodes),amidar,0,50996,47.0
Constraint suite (seed 0; training episodes),amidar,0,51691,45.0
Constraint suite (seed 0; training episodes),amidar,0,52290,44.0
Constraint suite (seed 0; training episodes),amidar,0,52799,56.0
Constraint suite (seed 0; training episodes),amidar,0,53398,67.0
Constraint suite (seed 0; training episodes),amidar,0,53971,43.0
Constraint suite (seed 0; training episodes),amidar,0,54464,56.0
Constraint suite (seed 0; training episodes),amidar,0,55094,55.0
Constraint suite (seed 0; training episodes),amidar,0,55686,100.0
Constraint suite (seed 0; training episodes),amidar,0,56263,106.0
Constraint suite (seed 0; training episodes),amidar,0,56858,49.0
Constraint suite (seed 0; training episodes),amidar,0,57566,55.0
Constraint suite (seed 0; training episodes),amidar,0,58084,53.0
Constraint suite (seed 0; training episodes),amidar,0,58683,57.0
Constraint suite (seed 0; training episodes),amidar,0,59581,63.0
Constraint suite (seed 0; training episodes),amidar,0,60187,57.0
Constraint suite (seed 0; training episodes),amidar,0,60781,48.0
Constraint suite (seed 0; training episodes),amidar,0,61399,61.0
Constraint suite (seed 0; training episodes),amidar,0,61911,56.0
Constraint suite (seed 0; training episodes),amidar,0,62821,154.0
Constraint suite (seed 0; training episodes),amidar,0,63440,55.0
Constraint suite (seed 0; training episodes),amidar,0,64177,82.0
Constraint suite (seed 0; training episodes),amidar,0,65095,86.0
Constraint suite (seed 0; training episodes),amidar,0,65883,68.0
Constraint suite (seed 0; training episodes),amidar,0,66623,79.0
Constraint suite (seed 0; training episodes),amidar,0,67390,83.0
Constraint suite (seed 0; training episodes),amidar,0,68048,60.0
Constraint suite (seed 0; training episodes),amidar,0,68885,87.0
Constraint suite (seed 0; training episodes),amidar,0,69820,94.0
Constraint suite (seed 0; training episodes),amidar,0,70395,99.0
Constraint suite (seed 0; training episodes),amidar,0,71212,151.0
Constraint suite (seed 0; training episodes),amidar,0,71786,99.0
Constraint suite (seed 0; training episodes),amidar,0,72514,135.0
Constraint suite (seed 0; training episodes),amidar,0,73160,89.0
Constraint suite (seed 0; training episodes),amidar,0,73842,92.0
Constraint suite (seed 0; training episodes),amidar,0,74470,77.0
Constraint suite (seed 0; training episodes),amidar,0,75132,88.0
Constraint suite (seed 0; training episodes),amidar,0,75797,61.0
Constraint suite (seed 0; training episodes),amidar,0,76568,147.0
Constraint suite (seed 0; training episodes),amidar,0,77234,58.0
Constraint suite (seed 0; training episodes),amidar,0,77980,138.0
Constraint suite (seed 0; training episodes),amidar,0,78717,72.0
Constraint suite (seed 0; training episodes),amidar,0,79612,92.0
Constraint suite (seed 0; training episodes),amidar,0,80400,80.0
Constraint suite (seed 0; training episodes),amidar,0,81174,132.0
Constraint suite (seed 0; training episodes),amidar,0,81975,150.0
Constraint suite (seed 0; training episodes),amidar,0,82956,92.0
Constraint suite (seed 0; training episodes),amidar,0,83702,66.0
Constraint suite (seed 0; training episodes),amidar,0,84503,129.0
Constraint suite (seed 0; training episodes),amidar,0,85280,86.0
Constraint suite (seed 0; training episodes),amidar,0,85902,121.0
Constraint suite (seed 0; training episodes),amidar,0,86683,80.0
Constraint suite (seed 0; training episodes),amidar,0,87458,84.0
Constraint suite (seed 0; training episodes),amidar,0,88257,82.0
Constraint suite (seed 0; training episodes),amidar,0,89113,76.0
Constraint suite (seed 0; training episodes),amidar,0,89700,98.0
Constraint suite (seed 0; training episodes),amidar,0,90466,97.0
Constraint suite (seed 0; training episodes),amidar,0,91244,139.0
Constraint suite (seed 0; training episodes),amidar,0,92141,90.0
Constraint suite (seed 0; training episodes),amidar,0,92833,158.0
Constraint suite (seed 0; training episodes),amidar,0,93623,144.0
Constraint suite (seed 0; training episodes),amidar,0,94484,85.0
Constraint suite (seed 0; training episodes),amidar,0,95251,100.0
Constraint suite (seed 0; training episodes),amidar,0,95952,47.0
Constraint suite (seed 0; training episodes),amidar,0,96684,84.0
Constraint suite (seed 0; training episodes),amidar,0,97410,142.0
Constraint suite (seed 0; training episodes),amidar,0,98180,137.0
Constraint suite (seed 0; training episodes),amidar,0,98954,138.0
Constraint suite (seed 0; training episodes),amidar,0,99699,136.0
Constraint suite (seed 0; training episodes),amidar,0,100508,143.0
Constraint suite (seed 0; training episodes),amidar,0,101379,113.0
Constraint suite (seed 0; training episodes),amidar,0,102110,139.0
Constraint suite (seed 0; training episodes),amidar,0,102800,133.0
Constraint suite (seed 0; training episodes),amidar,0,103483,133.0
Constraint suite (seed 0; training episodes),amidar,0,104249,137.0
Constraint suite (seed 0; training episodes),amidar,0,105084,187.0
Constraint suite (seed 0; training episodes),amidar,0,106010,105.0
Constraint suite (seed 0; training episodes),amidar,0,106914,121.0
Constraint suite (seed 0; training episodes),amidar,0,107835,208.0
Constraint suite (seed 0; training episodes),amidar,0,108629,143.0
Constraint suite (seed 0; training episodes),amidar,0,109334,165.0
Constraint suite (seed 0; training episodes),assault,0,218,84.0
Constraint suite (seed 0; training episodes),assault,0,715,168.0
Constraint suite (seed 0; training episodes),assault,0,1473,294.0
Constraint suite (seed 0; training episodes),assault,0,2175,336.0
Constraint suite (seed 0; training episodes),assault,0,2859,399.0
Constraint suite (seed 0; training episodes),assault,0,3595,399.0
Constraint suite (seed 0; training episodes),assault,0,4331,189.0
Constraint suite (seed 0; training episodes),assault,0,4978,231.0
Constraint suite (seed 0; training episodes),assault,0,5728,252.0
Constraint suite (seed 0; training episodes),assault,0,6203,168.0
Constraint suite (seed 0; training episodes),assault,0,6845,189.0
Constraint suite (seed 0; training episodes),assault,0,7260,189.0
Constraint suite (seed 0; training episodes),assault,0,7991,231.0
Constraint suite (seed 0; training episodes),assault,0,8633,462.0
Constraint suite (seed 0; training episodes),assault,0,9330,357.0
Constraint suite (seed 0; training episodes),assault,0,10928,588.0
Constraint suite (seed 0; training episodes),assault,0,11504,252.0
Constraint suite (seed 0; training episodes),assault,0,12370,525.0
Constraint suite (seed 0; training episodes),assault,0,13424,546.0
Constraint suite (seed 0; training episodes),assault,0,14220,483.0
Constraint suite (seed 0; training episodes),assault,0,15229,609.0
Constraint suite (seed 0; training episodes),assault,0,16028,525.0
Constraint suite (seed 0; training episodes),assault,0,16881,651.0
Constraint suite (seed 0; training episodes),assault,0,17902,525.0
Constraint suite (seed 0; training episodes),assault,0,19374,672.0
Constraint suite (seed 0; training episodes),assault,0,21445,651.0
Constraint suite (seed 0; training episodes),assault,0,22309,525.0
Constraint suite (seed 0; training episodes),assault,0,23681,693.0
Constraint suite (seed 0; training episodes),assault,0,24458,420.0
Constraint suite (seed 0; training episodes),assault,0,25613,651.0
Constraint suite (seed 0; training episodes),assault,0,26654,651.0
Constraint suite (seed 0; training episodes),assault,0,27788,693.0
Constraint suite (seed 0; training episodes),assault,0,29137,630.0
Constraint suite (seed 0; training episodes),assault,0,29999,483.0
Constraint suite (seed 0; training episodes),assault,0,31728,651.0
Constraint suite (seed 0; training episodes),assault,0,32267,378.0
Constraint suite (seed 0; training episodes),assault,0,32837,315.0
Constraint suite (seed 0; training episodes),assault,0,33636,378.0
Constraint suite (seed 0; training episodes),assault,0,34532,525.0
Constraint suite (seed 0; training episodes),assault,0,35423,567.0
Constraint suite (seed 0; training episodes),assault,0,36479,504.0
Constraint suite (seed 0; training episodes),assault,0,37278,504.0
Constraint suite (seed 0; training episodes),assault,0,37941,441.0
Constraint suite (seed 0; training episodes),assault,0,39844,651.0
Constraint suite (seed 0; training episodes),assault,0,40415,273.0
Constraint suite (seed 0; training episodes),assault,0,41342,441.0
Constraint suite (seed 0; training episodes),assault,0,42046,483.0
Constraint suite (seed 0; training episodes),assault,0,43087,630.0
Constraint suite (seed 0; training episodes),assault,0,44262,735.0
Constraint suite (seed 0; training episodes),assault,0,45446,651.0
Constraint suite (seed 0; training episodes),assault,0,46500,546.0
Constraint suite (seed 0; training episodes),assault,0,47430,588.0
Constraint suite (seed 0; training episodes),assault,0,47992,420.0
Constraint suite (seed 0; training episodes),assault,0,49049,588.0
Constraint suite (seed 0; training episodes),assault,0,49686,441.0
Constraint suite (seed 0; training episodes),assault,0,50416,315.0
Constraint suite (seed 0; training episodes),assault,0,50892,336.0
Constraint suite (seed 0; training episodes),assault,0,51596,462.0
Constraint suite (seed 0; training episodes),assault,0,52495,651.0
Constraint suite (seed 0; training episodes),assault,0,53390,588.0
Constraint suite (seed 0; training episodes),assault,0,54483,630.0
Constraint suite (seed 0; training episodes),assault,0,55359,504.0
Constraint suite (seed 0; training episodes),assault,0,56384,609.0
Constraint suite (seed 0; training episodes),assault,0,57439,693.0
Constraint suite (seed 0; training episodes),assault,0,57982,420.0
Constraint suite (seed 0; training episodes),assault,0,58619,462.0
Constraint suite (seed 0; training episodes),assault,0,59769,651.0
Constraint suite (seed 0; training episodes),assault,0,60757,588.0
Constraint suite (seed 0; training episodes),assault,0,61830,651.0
Constraint suite (seed 0; training episodes),assault,0,62755,588.0
Constraint suite (seed 0; training episodes),assault,0,64109,672.0
Constraint suite (seed 0; training episodes),assault,0,65098,672.0
Constraint suite (seed 0; training episodes),assault,0,65771,525.0
Constraint suite (seed 0; training episodes),assault,0,66859,630.0
Constraint suite (seed 0; training episodes),assault,0,67880,672.0
Constraint suite (seed 0; training episodes),assault,0,68778,693.0
Constraint suite (seed 0; training episodes),assault,0,69542,462.0
Constraint suite (seed 0; training episodes),assault,0,70498,630.0
Constraint suite (seed 0; training episodes),assault,0,71106,546.0
Constraint suite (seed 0; training episodes),assault,0,71679,399.0
Constraint suite (seed 0; training episodes),assault,0,72444,525.0
Constraint suite (seed 0; training episodes),assault,0,72892,315.0
Constraint suite (seed 0; training episodes),assault,0,73534,546.0
Constraint suite (seed 0; training episodes),assault,0,74693,693.0
Constraint suite (seed 0; training episodes),assault,0,75861,672.0
Constraint suite (seed 0; training episodes),assault,0,76818,609.0
Constraint suite (seed 0; training episodes),assault,0,77849,714.0
Constraint suite (seed 0; training episodes),assault,0,78136,189.0
Constraint suite (seed 0; training episodes),assault,0,78734,420.0
Constraint suite (seed 0; training episodes),assault,0,79371,441.0
Constraint suite (seed 0; training episodes),assault,0,79914,462.0
Constraint suite (seed 0; training episodes),assault,0,80938,630.0
Constraint suite (seed 0; training episodes),assault,0,82031,672.0
Constraint suite (seed 0; training episodes),assault,0,82762,462.0
Constraint suite (seed 0; training episodes),assault,0,83823,651.0
Constraint suite (seed 0; training episodes),assault,0,84661,630.0
Constraint suite (seed 0; training episodes),assault,0,85813,630.0
Constraint suite (seed 0; training episodes),assault,0,86814,672.0
Constraint suite (seed 0; training episodes),assault,0,88064,651.0
