seed,checkpoint,score,actions
0,100000,99040.0,11091.0
1,10000,1180.0,721.0
1,10000,1990.0,732.0
1,10000,1110.0,616.0
1,10000,970.0,860.0
1,10000,1990.0,741.0
1,10000,610.0,610.0
1,10000,720.0,796.0
1,10000,210.0,592.0
1,10000,1120.0,627.0
1,10000,1560.0,834.0
1,20000,1580.0,546.0
1,20000,520.0,945.0
1,20000,1540.0,827.0
1,20000,540.0,497.0
1,20000,2900.0,1068.0
1,20000,2790.0,895.0
1,20000,640.0,501.0
1,20000,1050.0,677.0
1,20000,1060.0,696.0
1,20000,1600.0,755.0
1,30000,3270.0,1021.0
1,30000,1700.0,1716.0
1,30000,1610.0,935.0
1,30000,640.0,668.0
1,30000,1120.0,786.0
1,30000,1350.0,1135.0
1,30000,1820.0,1267.0
1,30000,2900.0,2345.0
1,30000,1320.0,1115.0
1,30000,2310.0,1409.0
1,40000,1500.0,587.0
1,40000,1090.0,570.0
1,40000,1880.0,734.0
1,40000,1650.0,518.0
1,40000,1430.0,644.0
1,40000,1640.0,484.0
1,40000,2000.0,759.0
1,40000,2530.0,643.0
1,40000,1690.0,745.0
1,40000,2140.0,641.0
1,50000,900.0,916.0
1,50000,1410.0,600.0
1,50000,1210.0,940.0
1,50000,2080.0,720.0
1,50000,2020.0,787.0
1,50000,2960.0,697.0
1,50000,1870.0,714.0
1,50000,1760.0,687.0
1,50000,2470.0,708.0
1,50000,2330.0,809.0
1,60000,3180.0,724.0
1,60000,4370.0,714.0
1,60000,3000.0,756.0
1,60000,2600.0,594.0
1,60000,3620.0,1592.0
1,60000,2460.0,538.0
1,60000,3360.0,691.0
1,60000,2130.0,644.0
1,60000,3830.0,807.0
1,60000,3540.0,656.0
1,70000,1800.0,588.0
1,70000,2690.0,563.0
1,70000,2840.0,1626.0
1,70000,5420.0,789.0
1,70000,4420.0,780.0
1,70000,1750.0,518.0
1,70000,2710.0,613.0
1,70000,2860.0,1650.0
1,70000,4720.0,1273.0
1,70000,4140.0,658.0
1,80000,5110.0,1241.0
1,80000,3010.0,930.0
1,80000,4240.0,1464.0
1,80000,3220.0,635.0
1,80000,3440.0,825.0
1,80000,5230.0,810.0
1,80000,4360.0,1658.0
1,80000,3300.0,585.0
1,80000,3020.0,638.0
1,80000,4170.0,700.0
1,90000,6470.0,869.0
1,90000,6620.0,1099.0
1,90000,6800.0,1241.0
1,90000,3230.0,650.0
1,90000,2480.0,570.0
1,90000,5260.0,686.0
1,90000,3570.0,706.0
1,90000,2370.0,547.0
1,90000,6910.0,932.0
1,90000,4810.0,1092.0
1,100000,5530.0,958.0
1,100000,4060.0,856.0
1,100000,6440.0,1135.0
1,100000,5320.0,783.0
1,100000,6980.0,2170.0
1,100000,4850.0,676.0
1,100000,3410.0,768.0
1,100000,6190.0,732.0
1,100000,3620.0,790.0
1,100000,6050.0,826.0
1,100000,5380.0,1047.0
1,100000,5210.0,934.0
1,100000,5460.0,857.0
1,100000,4530.0,960.0
1,100000,5060.0,1175.0
1,100000,6850.0,1150.0
1,100000,11920.0,2616.0
1,100000,4300.0,920.0
1,100000,4650.0,1149.0
1,100000,4280.0,888.0
1,100000,2940.0,653.0
1,100000,6570.0,1825.0
1,100000,3880.0,730.0
1,100000,1990.0,582.0
1,100000,4060.0,840.0
1,100000,4560.0,857.0
1,100000,5530.0,1606.0
1,100000,4450.0,835.0
1,100000,5640.0,818.0
1,100000,5950.0,991.0
1,100000,4460.0,851.0
1,100000,4350.0,672.0
1,100000,5650.0,1155.0
1,100000,5280.0,710.0
1,100000,7030.0,1449.0
1,100000,6270.0,849.0
1,100000,4280.0,719.0
1,100000,3370.0,715.0
1,100000,4540.0,665.0
1,100000,4300.0,735.0
1,100000,3840.0,665.0
1,100000,4000.0,750.0
1,100000,3000.0,753.0
1,100000,4310.0,925.0
1,100000,6590.0,1054.0
1,100000,4140.0,644.0
